id,name,account,card,features,news
18,Rides,"{'id': 25, 'number': '0009-9', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 18, 'number': '**** **** **** 111', 'limit': 0.0}","[{'id': 12, 'icon': 'string', 'description': 'string'}]","[{'id': 32, 'icon': 'string', 'description': 'string'}, {'id': 260, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 261, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
19,Money Trees,"{'id': 26, 'number': '0008-9', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 19, 'number': '**** **** **** 222', 'limit': 0.0}","[{'id': 13, 'icon': 'string', 'description': 'string'}]","[{'id': 33, 'icon': 'string', 'description': 'string'}, {'id': 262, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 263, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
20,a lot,"{'id': 27, 'number': '0007-9', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 20, 'number': '**** **** **** 333', 'limit': 0.0}","[{'id': 14, 'icon': 'string', 'description': 'string'}]","[{'id': 34, 'icon': 'string', 'description': 'string'}, {'id': 133, 'icon': '🤑', 'description': None}, {'id': 141, 'icon': '🤑', 'description': None}, {'id': 149, 'icon': '🤑', 'description': 'a lot, Invista hoje, colha frutos financeiros amanhã.'}, {'id': 157, 'icon': '🤑', 'description': 'a lot, Invista no que importa. Colha recompensas duradouras.'}, {'id': 264, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 265, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
21,Pyterson,"{'id': 28, 'number': '00012-1', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 21, 'number': '**** **** **** 3232', 'limit': 1000.0}",[],"[{'id': 266, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 267, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
22,Homero,"{'id': 29, 'number': '00013-1', 'agency': '0001', 'balance': 0.0, 'limit': 1500.0}","{'id': 22, 'number': '**** **** **** 6632', 'limit': 2000.0}",[],"[{'id': 268, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 269, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
23,Caroline,"{'id': 30, 'number': '00014-1', 'agency': '0001', 'balance': 0.0, 'limit': 700.0}","{'id': 23, 'number': '**** **** **** 6677', 'limit': 2500.0}",[],"[{'id': 270, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 271, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
24,Mar,"{'id': 31, 'number': '00015-1', 'agency': '0001', 'balance': 0.0, 'limit': 2700.0}","{'id': 24, 'number': '**** **** **** 886677', 'limit': 3500.0}",[],"[{'id': 272, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 273, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
26,ocean,"{'id': 33, 'number': '00001-1', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 26, 'number': '**** **** **** 1111', 'limit': 1000.0}",[],"[{'id': 274, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 275, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
27,Predu,"{'id': 34, 'number': '99999-07', 'agency': '0007', 'balance': 4000.0, 'limit': 10000.0}","{'id': 27, 'number': '**** **** **** 7777', 'limit': 10000.0}",[],"[{'id': 170, 'icon': None, 'description': 'Prezado Predu,Invista seu dinheiro e alcance seus objetivos financeiros.Atenciosamente,Especialista em marketing bancário'}, {'id': 276, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 277, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
28,Pamonha,"{'id': 35, 'number': '100000-08', 'agency': '0007', 'balance': 4000.0, 'limit': 10000.0}","{'id': 28, 'number': '**** **** **** 8888', 'limit': 10000.0}",[],"[{'id': 171, 'icon': None, 'description': 'Oi Pamonha,Invista para ter um futuro melhor.Um abraço,Especialista em marketing bancário'}, {'id': 278, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 279, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
29,Faustão,"{'id': 36, 'number': '100000-09', 'agency': '0007', 'balance': 4000.0, 'limit': 10000.0}","{'id': 29, 'number': '**** **** **** 9999', 'limit': 10000.0}",[],"[{'id': 172, 'icon': None, 'description': 'Olá, Faustão!Invista seu dinheiro e alcance seus objetivos. Converse com um especialista em investimentos hoje.'}, {'id': 280, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 281, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
30,Ocean,"{'id': 37, 'number': '10001-1', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 30, 'number': '1111 **** **** 1111', 'limit': 1000.0}",[],"[{'id': 42, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista para prosperar! #OceanInvestimentos'}, {'id': 282, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 283, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
31,Deyla,"{'id': 38, 'number': '20002-2', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 31, 'number': '2222 **** **** 2222', 'limit': 1000.0}",[],"[{'id': 43, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista para um futuro mais seguro e próspero!'}, {'id': 284, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 285, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
32,Thanos,"{'id': 39, 'number': '30003-3', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 32, 'number': '3333 **** **** 3333', 'limit': 1000.0}",[],"[{'id': 44, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Thanos, os investimentos fazem seu futuro florescer. #PensandoAlémDoEstalarDeDedos'}, {'id': 286, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 287, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
33,Ada Shelby,"{'id': 40, 'number': '0004-4', 'agency': '004', 'balance': 0.0, 'limit': 400.0}","{'id': 33, 'number': '**** **** **** 4444', 'limit': 4000.0}",[],"[{'id': 288, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 289, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
34,John Shelby,"{'id': 41, 'number': '0005-5', 'agency': '005', 'balance': 0.0, 'limit': 500.0}","{'id': 34, 'number': '**** **** **** 5555', 'limit': 5000.0}",[],"[{'id': 290, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 291, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
35,Michael Gray,"{'id': 42, 'number': '0006-6', 'agency': '006', 'balance': 0.0, 'limit': 600.0}","{'id': 35, 'number': '**** **** **** 6666', 'limit': 6000.0}",[],"[{'id': 292, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 293, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
36,jason,"{'id': 43, 'number': '0010-1', 'agency': '2212', 'balance': 0.0, 'limit': 12.0}","{'id': 36, 'number': '**** **** **** 5005', 'limit': 100.0}","[{'id': 15, 'icon': 'string', 'description': 'string'}]","[{'id': 45, 'icon': 'string', 'description': 'string'}, {'id': 294, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 295, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
37,jason,"{'id': 44, 'number': '00010-1', 'agency': '2212', 'balance': 0.0, 'limit': 12.0}","{'id': 37, 'number': '**** **** **** 5001', 'limit': 100.0}","[{'id': 16, 'icon': 'string', 'description': 'string'}]","[{'id': 46, 'icon': 'string', 'description': 'string'}, {'id': 296, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 297, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
38,Leo,"{'id': 45, 'number': '00021-1', 'agency': '2212', 'balance': 0.0, 'limit': 12.0}","{'id': 38, 'number': '**** **** **** 5022', 'limit': 100.0}","[{'id': 17, 'icon': 'string', 'description': 'string'}]","[{'id': 47, 'icon': 'string', 'description': 'string'}, {'id': 298, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 299, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
39,Bruna,"{'id': 46, 'number': '00031-1', 'agency': '2212', 'balance': 0.0, 'limit': 12.0}","{'id': 39, 'number': '**** **** **** 5033', 'limit': 100.0}","[{'id': 18, 'icon': 'string', 'description': 'string'}]","[{'id': 48, 'icon': 'string', 'description': 'string'}, {'id': 300, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 301, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
40,Mary,"{'id': 47, 'number': '0000-1', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 40, 'number': '**** **** **** 2424', 'limit': 1000.0}",[],"[{'id': 302, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 303, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
41,Joshua,"{'id': 48, 'number': '0000-2', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 41, 'number': '**** **** **** 8989', 'limit': 1000.0}",[],"[{'id': 304, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 305, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
42,Paul,"{'id': 49, 'number': '0000-3', 'agency': '0001', 'balance': 0.0, 'limit': 0.0}","{'id': 42, 'number': '**** **** **** 0606', 'limit': 1000.0}",[],"[{'id': 306, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 307, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
43,string,"{'id': 50, 'number': '0001', 'agency': '1221', 'balance': 0.0, 'limit': 0.0}","{'id': 43, 'number': '*** **** **** 0001', 'limit': 1000.0}",[],"[{'id': 308, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 309, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
44,Pegasus,"{'id': 51, 'number': '0002', 'agency': '1221', 'balance': 0.0, 'limit': 0.0}","{'id': 44, 'number': '*** **** **** 0002', 'limit': 1000.0}",[],"[{'id': 310, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 311, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
45,Jaspion,"{'id': 52, 'number': '0003', 'agency': '1221', 'balance': 0.0, 'limit': 0.0}","{'id': 45, 'number': '*** **** **** 0003', 'limit': 1000.0}",[],"[{'id': 312, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 313, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
46,Jyraia,"{'id': 53, 'number': '0004', 'agency': '1221', 'balance': 0.0, 'limit': 0.0}","{'id': 46, 'number': '*** **** **** 0004', 'limit': 1000.0}",[],"[{'id': 314, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 315, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
47,Fulano,"{'id': 54, 'number': '0000001-1', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 47, 'number': '**** **** **** 9111', 'limit': 0.0}","[{'id': 19, 'icon': 'string', 'description': 'string'}]","[{'id': 52, 'icon': 'string', 'description': 'string'}, {'id': 316, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 317, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
48,Beltrano,"{'id': 55, 'number': '0000002-2', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 48, 'number': '**** **** **** 9112', 'limit': 0.0}","[{'id': 20, 'icon': 'string', 'description': 'string'}]","[{'id': 53, 'icon': 'string', 'description': 'string'}, {'id': 318, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 319, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
49,Ciclano,"{'id': 56, 'number': '0000003-3', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 49, 'number': '**** **** **** 9113', 'limit': 0.0}","[{'id': 21, 'icon': 'string', 'description': 'string'}]","[{'id': 54, 'icon': 'string', 'description': 'string'}, {'id': 320, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 321, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
50,Jade,"{'id': 57, 'number': '001', 'agency': '1', 'balance': 0.0, 'limit': 500.0}","{'id': 50, 'number': '1111', 'limit': 0.0}","[{'id': 22, 'icon': 'string', 'description': 'string'}]","[{'id': 55, 'icon': 'string', 'description': 'string'}, {'id': 322, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 323, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
51,job,"{'id': 58, 'number': '002', 'agency': '1', 'balance': 0.0, 'limit': 500.0}","{'id': 51, 'number': '2222', 'limit': 0.0}","[{'id': 23, 'icon': 'string', 'description': 'string'}]","[{'id': 56, 'icon': 'string', 'description': 'string'}, {'id': 324, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 325, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
52,kya,"{'id': 59, 'number': '003', 'agency': '1', 'balance': 0.0, 'limit': 500.0}","{'id': 52, 'number': '333', 'limit': 0.0}","[{'id': 24, 'icon': 'string', 'description': 'string'}]","[{'id': 57, 'icon': 'string', 'description': 'string'}, {'id': 326, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 327, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
53,jod,"{'id': 60, 'number': '65461', 'agency': '12', 'balance': 0.0, 'limit': 0.0}","{'id': 53, 'number': '2416', 'limit': 25451.0}","[{'id': 25, 'icon': 'string', 'description': 'string'}]","[{'id': 58, 'icon': 'string', 'description': 'string'}, {'id': 328, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 329, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
